Sentences,غصہ,نفرت,خوف,اداسی,حیرت,خوشی
ننھے بچوں کے سوالات سے ڈر جاتا ہوں جیب خالی ہو تو میں دیر سے گھر جاتا ہوں ❣آچھی اور سچی باتیں🌙,0,0,1,1,0,0
غصہ نہ کریں وہ پنکی پیرنی کی بات کر رہا تھا پاکستان کی نہیں,1,0,0,0,0,0
اور تو آخرت کے خوف سے آزاد ہے کیا بتاے گا کہ ساری عمر صرف کپورے ہی پالش کئے ہیں,0,0,0,0,1,0
میں خود سے بھی نفرت کرتی ہوں اور مجھے سب سے بھی نفرت ہے,0,1,0,0,0,0
کتنی خوشی ہوتی  کی ہمارے ہوئے نہیں اس لئے پتہ نہیں 😅,0,0,0,1,0,0
بریلی اور دیو بند انڈیا کے دو شہروں کے نام پر فرقے بنا ڈالے ہیں نکل آؤ ان چکروں سے کچھ نہیں ملنے والا,0,0,0,1,0,0
جو ملک کی گنگا جمنی تہذیب کو ختم کرنے کی کوشش کرے گا اور آپسی اتحاد واتفاق کو مٹانے کی کوشش,1,0,0,0,0,0
بہادر اور دلیر صحافیوں میں سے ایک ہماری بہت دبنگ صحافی عاصمہ شیرازی کو بہت بہت سالگرہ مبارک اللہ آپکو مزید کامیابی,0,0,0,0,0,1
خموشی مجھ کو حیرت سے ہے ورنہ بھرے ہیں لب سے لے کر شکوے تا دل میر تقی میر,0,0,0,1,1,0
میں اس کی تختی پہ دل بنایا کرتا تھا پاکیزہ نام سے کچھ شعر کہا کرتا تھا اس کی باتوں کے بہائو میں سنبھلنا مشکل تھا میں,0,0,0,1,0,0
مسلسل جبر سے محسن دلوں میں ڈر نہیں رہتے 😡,1,0,0,1,0,0
او بھائی غُصہ نہ کر بولا تو ہے سب سے زیادہ کیا ہے عمر,0,0,0,0,1,0
ایک بدو نے نبی پاک صلی اللہ علیہ وسلم سے پوچھا کہ حشر میں حساب کون لے گا آپ صلی اللہ علیہ وسلم نے فرمایا اللہ,0,0,0,0,0,0
تمام سمندر اور دریا جہنم کے سب سے چھوٹے پتھر کی آگ کو کو نہیں بجھا سکتے لیکن تمہارا اللہ کے خوف سے نکلا ایک آنسو,0,0,1,0,0,0
اختلاف کریں نفرت اور بد زبانی نہیں محترم,0,0,0,1,0,0
اللہ پاک آپ تمام احباب کو اسکا اجر عظیم عطا فرماۓ لیکن اس راشن میں پہلی بار زندگی میں فولادی آٹا دیکھ کر حیرت بھی,0,0,0,0,1,0
بھارت میں کووِڈ انیس کا مرض اب تک کسی حقیقی بحران کی وجہ نہیں بنا اصل بحران تو نفرت اور بھوک کا ہے,0,0,0,1,0,0
بات نکلے گی تو پھر دور تلک جائے گی لوگ,0,0,0,1,0,0
مرد کیا ہے مرد وہ ہے جو اپنی بہن کے نصیب سے ڈر کر کسی کی بہن سے نہ کھیلے❣,0,0,0,0,1,1
سمی ابراہیم سر آپ کو کرونا کے حوالے سے اب تک کس بات کا زیادہ خوف ہے عمران احمد خان نیازی مجھے ابھی بھی سب سے زیا,1,0,0,0,0,0
ہندوستان میں کووِڈ کا مرض کسی حقیقی بحران کی وجہ نہیں بنااصل وہاں حکمرانوں نے مسلمانوں کے خلاف نفرت کا بحران پی,0,0,1,1,1,0
زمیں سرور کے عالم میں مسکراتی ہے خوشی کے گیت فلک گنگناے پھرتا ہے کوئی تو جرم تھا جس میں سبھی ملوث تھے ہر ایک فرد,0,0,0,0,0,1
یار جب سب کچھ ای ہو رہا ہے تو لگے ہاتھ ہاتھ پی ایس ایل کے بقیہ میچ بھی کرا ای دو کچھ خوشی مل جائے گی قوم کو اس م,0,0,0,0,1,0
کیسی ھو خوشی,0,0,0,0,0,1
سکوتِ شام میں گونجی صدا اُداسی کی کہ ھے مزید اُداسی دوا اُداسی کی بہت شریر تھا مَیں اور ھنستا پِھرتا تھا پھر اِک,0,0,0,1,0,0
مجھے خوشی ہے کہ میرے بھائی کی حِس مزاج اچھی ہے خان اب توبہ تائب ہو چکا اللہُ سبحانہ تعالٰی نے,0,0,0,0,0,1
صحافی خواتین اور انکو درپیش مسائل میں نے سے فیلڈ رپورٹنگ کی شروعات کی شروعاتی دِنوں سے آج دن تک جِن مشکلات,0,0,0,1,0,0
تیرے بعد اداسی میری روح میں جذب ہو گئی پھر رونقیں مجھے زہر لگنے لگی,0,0,0,1,0,0
کہانھیں بحیثیت مسلمان پروگرام میں شامل کیا جارہا ہے نیز یہ کہ ربوہ ٹائمس قادیانیوں کا پاکستانی چینل اس کو مکمل,1,1,0,1,1,0
موت سے نہیں کورونا کی موت سے ڈر لگتا ہے اویس حفیظ,0,0,1,1,0,0
حیرت ہے بینکوں سے کرونا پھیلنے پہ کوئی بات کرنے کو تیار نہیں جہاں سارا دن لوگوں کا تانتا بندھا رہتا ہے,0,0,0,1,1,0
محو حیرت ہو کہ دنیا کیا سے کیا ہوجائے گی کیا امریکہ کی تنزلی کا سفر شروع ہوچلا ہے,0,0,0,0,1,0
دن بھر اک دوجے سے لڑتے رہتے ہیں رات کو تھک کر سو جاتے ہیں ڈر اور میں جناب  صاحب  کی ریگولرائزیشن سمری کی م,0,0,0,1,0,0
پھر تمہیں فون کی اجازت ہے کبھی جو یاد آؤں اگر اداسی میں ,0,0,0,1,0,0
بیوی میں نے کہا جی تم مجھ سے کتنی محبت کرتے ہو شوہر اتنی محبت جتنی شاہ جہاں کو م,0,0,0,0,0,1
اس نے فرمایا اے میری قوم میں تمہارے لئے صریح ڈر سنانے والا ہوں,0,0,0,0,0,0
مزدوری جو کرے کیا ڈر اُسے اللہ سب رزق حلال کمانے والوں کو اپنی رحمت کے سائے میں رکھے,0,0,0,0,0,1
نیند آ رہی ہے یا اداسی ہے,0,0,0,0,1,0
نفرت کا جواب کب تک یوں ہی دوگے کب تک,0,0,0,1,1,0
گراگدھےسے غصہ کمار پر,0,0,0,1,1,0
گر بازی عشق کی بازی ہے جو چاہو لگا دو ڈر کیسا گر جیت گئے تو کیا کہنا ہا رے بھی تو بازی مات نہیں   😊,0,0,1,1,0,0
ن لیگ کے دور حکومت میں جو آگ لگا کرتی تھی وہ کتنی زہین تھی کہ صرف وہاں لگتی تھی جہاں انکی کرپشن کا ریکار,1,1,0,0,1,0
شوہر نہانے کے لیے باتھ روم میں گیا تھا بیوی نے اسکا موبائل چیک کیا کانٹیکٹ لسٹ میں ایک نام کورونا نظر آیا,0,0,0,0,0,1
آج دُنیا بھر میں یومِ کتاب منایا جا رہا ہے 📖 درخت پُوچھنے لگے ہیں اب کتابوں سے ہمارا قتلِ عام کس خو,0,0,0,1,0,0
تو پھر تمہاری رفاقتوں کا جواز کیا ہے تمہارے ہوتے ہوئے اداسی سے بھر گیا ہوں,0,0,0,1,1,0
مجھے اب ڈر نہیں لگتا محسن نقوی گدازلمحے کسی کے دور جانے سے تعلق ٹوٹ جانے سے کسی کے مان جانے سے کسی کے روٹھ ج,0,0,0,1,0,0
میں اِس لئے مناتا نہیں وَصل کی خوشی مجھ کو رَقیب کی نہ کہیں بَد دُعا لگے,0,0,0,1,0,0
عمران خان صاحب پلس بزدار صاحب آسمانوں کی بلندی سے ان کو ڈر نھیں لگتا شاہین کو اوڑان کی تعلیم نھیں دی جاتی,0,0,0,0,0,0
بلاول بھٹو نے کہا ہے کہ کورونا وائرس کے معاملے پر وفاق سندھ سے تعاون نہیں کر رہا ڈر ہے کراچی کے حالات اٹلی اور نی,0,0,0,1,1,0
آنکھ جو کچھ دیکھتی ہے لب پہ آسکتا نہیں محو حیرت ہوں کہ دنیا کیا سے کیا ہو گئ علامہ اقبال,0,0,0,1,1,0
جو موت سے نا ڈرتا تھا بچوں سے ڈر گیا اک رات جب مزدور خالی ہاتھ گھر گیا,0,0,1,1,0,0
یہ جو بے سبب اداسی ہے اس کا ایک سبب تم بھی ہو,0,0,0,1,0,0
اردو نہیں ملتی انہیں منزل جنہیں خوف حوادث ہے جو موجوں سے نہیں ڈرتے ندی کو پار کرتے ہیں عبدالمجید خاں مجید,0,0,0,0,0,1
چھوڑا بلکہ اور مذھبی ھو گئی ھو مجھے کوئی حیرت نہیں ھوئی نہ ھی دکھ میرا مرد اور وہ خواتین جو مذھب کو صرف,0,0,0,0,0,1
آمین حقیقت میں اسلام کی اصل روح ہی شرک سے نفرت ہے اگر روح ہی نہ ہو تو باقی سب بیکار رہ جاتا ہے,0,0,0,1,0,0
پاکستان پہ جو عذاب آیا ہے اس میں میڈیا کی وجہ سے ہے جہاں آپ جیسے صحافی لفافے لیکر سچ کو جھوٹ ا,1,0,0,1,0,0
جس نے تم لوگوں کو پنجاب کے پی کے بلوچستان جی بی اور آزاد کشمیر کی عوام کے بارے میں بات کرنے کا حق دیا ہے اگر بات ح,0,0,0,0,0,1
میں ایک بار نہیـں بار بار ہنسـتا ہوں کسی طـرح تو اُداسی کو کـم کِیا جـائے کاشفؔ حسین غائر ⁦ رونقشاعری,0,0,0,1,0,0
️ ذہن شیطان اور فساد 💫 میاں بیوی میں جدائی ڈالنا شیطان کا پسندیدہ عمل ہے اور بہت خوشی مناتا ہے لہذا شیطان,0,0,1,1,0,0
تمہارے بعد ہمیں وسوسوں نے گھیر لیا کسی نے ہنس کے بلایا تو ڈر گئے,0,0,1,1,0,0
روح کی اداسی نہیں جاتی 🥀 میں ہس ہس کے تھک جاتا ہوں,0,0,0,1,0,0
اقوام متحدہ میں روہنگیا مسلمانوں پر میانمار کے مظالم کیخلاف قرارداد منظور کرلی گئی ہے ٖغیر میانمار کے مظالم کیخلا,0,0,0,1,0,1
یہ دنیا آنکھ ہے اور آنکھ بھی اداسی کی  تمام لوگ یہاں چلتے پھرتے آنسو ہیں,0,0,0,1,0,0
مریضوں کو ہسپتال لے کر جانے سے لوگ ڈر رہے ہیں اور گھبراہٹ کا شکار ہیں کیونکہ ہسپتالوں میں ہر بیماری کے مریض پ,0,1,0,1,0,0
خان صاحب نےمسلمانوں کا بیالیس ارب کرتارپور گردوارے پر لگادیا جبکہ مساجد میں سینیٹائزر گیٹ اپنی مدد آپ کے تحت لگانے کا حکم حیرت ھے,0,1,0,1,1,0
مجھےتو ڈر ہے کل کو اگر بلاول زرداری شیخ رشید کےساتھ بھاگ گئی توسندھ حکومت یہ الزام بھی وزیراعظم عمران خان پر نا,1,1,0,0,0,0
میرے بچپن کے دن کتنے اچھے تھے دن آج بیٹھے بٹھائے کیوں یاد آگئے میرے بچھڑوں کو مجھ سے ملا دے کوئی میرا بچپن کسی,0,0,0,1,0,0
جو موت سے نہیں ڈرتا تھا بچوں سے ڈر گیا ایک رات خالی ہاتھ جب مزدور گھر گیا,0,0,0,1,0,0
وائرس سے ڈریں یا بیروزگاری سے خوف کھائیں ان حالات میں محکمہ اسکول ایجوکیشن نے آئی بی اے سکھر پر عدم اعتماد کرتے ہو,0,0,0,1,1,0
مجھے طاہر القادری سے اتنی نفرت ہے جتنی ایک مسلمان کو خنزیر کے گوشت سے اور یہ نفرت آپکی طرح اسٹی,1,1,0,0,0,0
کم از کم آپکو ایسی ٹویٹ کرتے ہوئے کچھ خیال کرنا چاہیئے کہ آپ ایک پارٹی کی سینئیر پارلیمنٹیرین ہیں,0,1,0,1,1,0
شکر اے ایک خبر دیکھ کے دل ڈر سا گیا تھا ابھی تحقیق سے پتا چلا کہ وہ فیک ہے 🤭,0,0,1,1,0,0
میں تو نہیں دیکھ رہا اس منحوس ٹیلی تھون کو انکی حماقتوں کو سن کر پہلے ہنسی آیا کرتی تھی لیکن اب انکی جہالتوں اور,1,1,0,0,0,0
زندگی بھر یہ آسماں تجھ کو کسی آفت میں‌ مُبتلا نہ کرے کِھلتے پھولوں کی رِدا ہو جائے اِتنی حسّاس ہوا ہو جائے مانگتے ہ,0,0,0,0,0,1
السلام علیکم نبی کریم صلی اللہ علیہ والہ وسلم کا ارشاد ھے کوئی مومن مرد اپنی مومنہ بیوی سے نفرت نہ کرے اگر اس,0,0,1,0,0,0
تیری ماں کلثوم دا جنازہ بھی اسی مولوی نے پڑھایا تھا ڈنگرا اتنی ہی نفرت ہے تو تب پین پیش کرتے کتے دیا,1,1,0,0,0,0
مجھے حیرت ہے ان لوگوں پرجو ان کی باتوں میں آکے ان کےلئے تالیاں بجاتے ہیں اور ان کو سپورٹ کرتے ہیں,1,0,0,0,1,0
کبھی حیرت کبھی مستی کبھی آہ سحرگاہی بدلتا ہے ہزاروں رنگ میرا درد مہجوری حد ادراک سے باہر ہیں باتیں عشق و مستی کی,0,0,0,1,1,0
اُسے کہنا مکمل کچھ نہیں ہوتا ملنا بھی نا مکمل ہے جدائی بھی ادھوری ہے یہاں اک موت پوری ہے اسے کہنا اداسی,0,0,0,1,1,0
اتنا غصہ 🤔🤔,0,0,0,0,1,0
مت پوچھو کہ میرا کاروبار کیا ہے محبت کی چھوٹی سی دکان ہے نفرت کے بازار میں  ادبکاسفر,0,0,0,0,1,1
کرو پھر اپنی  والی تصویر ٹویٹ ڈر ڈُر تے نہیں جاؤ گے 😂,0,0,0,0,0,1
جب شہباز گل اور فردوس عاشق جیسے لوگ عمران نیازی کی تعریف کرتے ہیں تو بات سمجھ بھی آتی ہے مگر تب حیرت ہوتی ہے جب م,0,0,0,0,1,0
اگر اس لڑکی کا کوئی بھائی کزن ہے تو پھر تو اسا ضرور ہو گا لیکن مجھے حیرت ہے کے اسا کا فصلہ اٹ دا سپاٹ کی,0,0,0,0,1,0
اللہ اس نالائق سےنجات دیں ان سےمیرا سخت نفرت ہے,1,0,0,0,0,0
°ھـم کبھـی دوستـوں کـی اداسـی دور کیـا کرتـے تھـے دوست آج ھـم اداس ھوئـے تو کوئـی پو,0,0,0,1,1,0
مجھے منافقوں سے ڈر لگتا ہے,0,0,1,0,0,0
اب خوشی میں اتنی زیادہ نہ پی جانا کہ کرونا سے بچ جاؤ لیکن پھیپھڑوں کے کینسر سے مرجاؤ,0,0,0,1,0,1
نئیں تائی جان کو جس چیز پہ زیادہ آسانی سے غصہ آتا ہے وہی کروں گا,0,0,0,0,1,1
قبر کھودنے کے اگلے ہی دن نازی جرمنی نے سوویت یونین پر حملہ کر دیا اس جنگ میں کروڑوں لوگ مارے گئے تھے تیمور کی باق,0,1,0,1,1,0
کورونا کے نام پر ٹی وی چینلوں اور سوشل میڈیا کے ذریعے مسلمانوں کے خلاف نفرت پھیلائے جانے کا,1,0,1,0,0,0
بی جے پی کی وجہ سے بھارت میں مسلمانوں کے خلاف نفرت کا ایک بحران ہےاس سے قبل دہلی میں بھی مسلمان مخالف شہریت کے قان,0,1,1,1,0,0
نفرت کرنے والے بھی ہونے چاہیے زندگی میں 😗😗 👈اب ہرکوئی محبت کرے گا تو نظر لگ جائے گی 😉😉,0,0,0,0,0,1
جو میری روح کو چین دے پیار دے وہ خوشی بن گئے ہوتم زندگی بن گے ہوتم   💟,0,0,0,0,0,1
یہ لمحہ اللّٰہ تعالیٰ کے ہاں سر بسجود کا ہے نہ کے ڈم توب کا میں اسکے اس خوشی پر افسوس کرتا ہوں,0,0,0,0,0,1
آپکے دٌکھ درد اور اداسی لوگوں کو نظر نہیـں آتے لیکن غلطیاں ضرور نظر آ جاتی ھیں رونقشاعری,0,0,0,1,0,0
مت کرو اتنی نفرت ہم سے آخر ہم بھی انسان ہیں فر ق اتنا ہے کہ تم محفل کی رونق اور ہم تنہائ کے بادشاہ ہیں😕,0,0,0,1,0,0
شام میں فطری اداسی ہوتی ہے پرندوں کی واپسی ڈھلتا سورج ڈھلتے سائے سب کچھ اداسی اوڑے ہوتا ہے🖤🥀,0,0,0,1,1,0
بھلے شاہ اور اللہ کے درمیان کوئی نہیں الف مکمل سچ بتائے گا اللہ نے ان کے دل حسد تکبر اور نفرت کی گرد سے پاک کر دیے,0,0,0,0,0,1
دنیا بھر میں کرکٹ بند ہے جس سے مجھ جیسے کئی شائقین انتہائی بوریت کا شکار ہیں اب تو ڈر ہے کہیں کرکٹ کا شوق ہی ختم نہ ہوجائے 😞,0,0,1,1,0,0
بہت اداسی شاعری,0,0,0,1,0,0
صحرا صحرا دوپہریں ہیں بادل بادل شام دل نگری کی رات اداسی چنچل چنچل شام ڈالی ڈالی پھول ہیں رقصاں دریا دریا موج ت,0,0,0,1,1,0
یہ مودی کے چمچے بیٹھ کر نفرت پھیلاتے ہیں پھر بیٹھ کر مسلمانوں کے خون ہولی دیکھتے ہیں یہ اس بندے کی جگہ تو پاگل خانہ,1,1,0,1,0,0
ہم دشت کے باسی ہیں اے شہر کے لوگو یہ روح پیاسی ہمیں ورثے میں ملی ہے دکھ درد سے صدیوں کا تعلق ہے ہمارا آنکھوں کی اد,0,0,0,1,0,0
وہ تو اندر کی اداسی نے بچایا ورنہ ان کی مرضی تو یہی تھی کہ شگفتہ ہو جاؤں,0,0,0,1,0,0
شہر کے سب راستوں پر پہرا ہے لیکن یہ اداسی کس راستے سے آرہی ہے,0,0,0,1,1,0
اس نفرت کا بیج بونے والا ڈونکی راجہ ہے,1,0,0,0,0,0
آپ چھوڑیں جناب لوگ مجھ پر غصہ نکالنا شروع ہو گئے ہیں آپ اپنی لکھی ہوئی,1,0,0,0,1,0
سال بھارت میں اقلیتوں کیلئے خوف و تشدد کی علامت کا ایک اور برس اقلیتوں کے خلاف غیر انسانی سلوک تشدد اور جھوٹ,1,1,0,1,0,0
بھٹی صاحب میز پر ہاتھ مار مار کر ایک تو میز توڑ دی دوسرا اس,0,0,0,1,1,0
نفرت مجھے ان جوانوں سے ہے لفا فوں پہ جو رکھتے ھیں کمانڈ,0,1,0,0,0,0
میری ہر پوسٹ کو پڑنا اور کیمنٹس نہ کرنا یہ محبت کی انتاہ ہیں یا نفرت کی شروط,0,0,0,0,0,0
اندر باہر شور ہے میں کا میں تو میں سے ڈر بیٹھا ہوں,0,0,1,1,0,0
اب ایسی حیرت و وارفتگی کو کیا کہیے دعا کو ہاتھ اٹھائے اٹھا کے بھول گیا دل و جگر ہیں کہ گرمی سے پگھلے جاتے ہیں کوئی,0,0,0,1,1,0
نفرت ہٹاؤ دیش بچاؤ,0,0,0,0,0,1
لیکن انڈین مسلم بھی بغض میں اتنے بھرے ہوئے ہیں کہ بیشک عمران خان کی وجہ سے یہ آوازیں بلند ہوئی ہیں لیکن وہ عمران خا,1,0,0,0,0,0
بنو امیّہ کے بدترین مخالفین بنو عباس کی زیرِنگرانی لکھوائی گئی تاریخ طبری میں بھی اموی مظالم کا کوئی ذکر نہیںملتا,0,0,0,0,1,0
حیرت کی بات یہ کہ ایک انٹرمیڈیٹ پاس بندہ سندھ کی یونیورسٹیوں پر چانسلر ہے,1,0,0,0,1,0
اپیل جتنے بھی مراثی کنجر مشہور ہو کر ذاتی بغض اور نفرت میں ٹویٹر پر بھونکنے آ جاتے ہیں ان کو دوبار,1,1,0,0,0,0
مجھے نواز کوئ ہجر سے بھرا ہوا عشق میں وہ فقیر ہوں جس کی طلب اُداسی ہے,0,0,0,1,0,0
گودی میڈیا ہر معاملہ میں معلوم نہیں کیوں ایک مذھب کے لوگوں کو نشانہ بناتی ہے اور نفرت کا زہر گھولتی ہے میڈیا مسلما,0,1,1,1,0,0
جن لوگوں کا اللہ پر ایمان ہے انہیں کرونا سےکوئی خطرہ نہیں صرف گمراہ لوگوں کو اس سے خطرہ ہے لوگ اللہ سے زیادہ کرو,0,0,0,0,0,1
لائی حیات آئے قضا لے چلی چلے اپنی خوشی نہ آئے نہ اپنی خوشی چلے,0,0,0,1,0,0
کیسے مطلب ادا کرے کوئی دکھ کا کیا ترجمہ کرے کوئی ایک بے رنگ سی اداسی ہے ایسے موسم میں کیا کرے کوئی,0,0,0,1,0,0
آؤ مل بانٹ کے بانٹ لو ہر خوشی,0,0,0,0,0,1
یہ پڑھ لو تا کہ تمہاری ٹینشن دور ہو اور شکرانے کے نوافل ضرور پڑھنا تم بھی اپنے وزیر اعظم کا کرونا ٹ,0,0,0,0,0,1
آپ کے ایک فالو بیک سے خوشی ہو گی,0,0,0,0,0,1
مریضوں میں بہت سار ے لوگ اچھے پکوائ کے ماہر بھی ہوں گے اگر انتظامیہ کو ان سے ڈر لگتا یے تو ان کم کم ازکم سامان مہیا,0,0,0,0,0,0
آپ جیسے چول لوگوں کو ایسے ہی عوام لفافہ نہیں کہتی آدھا کاٹ کر کلپ چلایا ھے شودے انسان میانداد نے پوری بات یہ کی,1,1,0,0,0,0
بے وجہ اداسی بے وجہ الجھن ایک شخص انسان کو کتنا بیزار کر دیتا ہے,0,0,0,1,1,0
اوکے مبین آپ اتنا غصہ کیوں کر رہے ہیں شانت رہیں پلیز,0,0,0,0,1,0
حیرت ھے کے تعلیم و ترقی میں ھے پیچھے جس قوم کا آغاز ہی اقراء سے ہوا تھا 🤔,0,0,0,1,1,0
بلیو ٹِک والے پہلے اکاؤنٹ سے ہندوتوا کو بےنقاب کرنے کی ٹویٹ دیکھ کر بہت خوش,1,0,0,0,0,1
حیرت ہے اسکو بھی سبسکرائب کیا,0,0,0,0,1,0
دوا ساز اداروں کو بند کرنے کا حیرت انگیز فیصلہ,0,1,0,0,1,0
اور مجھے اس سے نفرت 🙄,0,1,0,1,0,0
__انسان ہمیشہ تکلیـف میں سیکھـتا ہـے🍀🍀 🍀🍀خوشی م,0,0,0,1,1,0
بہت گہرے الفاظ اداسی میں کچھ نہیں رکھا,0,0,0,1,0,0
ہیں ہیں ہیں ہیں ہیں ہیں ہیں ہیں کیا کیا کیا کیا کیا کیا اتنا غصہ کیوں,0,0,0,0,1,0
رمضان المبارک کی آمد ہے ان شاءاللہ ہر کوئی اہلِ خانہ کے ساتھ سحر افطار کی خوشی منانا چاہتا ہے مگر کچھ ایسے نوجوان ب,0,0,0,0,0,1
جب رمضان رخصت ہونے والا ہوتا ہے ایک الگ ہی اداسی ہوتی ہے,0,0,0,1,1,0
دشمن دلیر ہوتا تو آتا مجھے مزہ فاروقؔ ڈر رہا ہوں کہ بزدل کی زد میں ہوں,0,0,0,0,0,1
محبت کا تو پتہ نہیں مگر🙂 انسان نفرت دل سے کرتا ہے🌷,0,0,0,1,1,0
اذیت میں اداسی میں وہ زیر غور رہتا ہے مجھے اس شہر لے جاؤ کہ وہ لاہور رہتا ہے,0,0,0,1,0,0
مجھے تو اس دن سے ڈر لگ رہا ہے😨 جب لاک ڈاؤن کے آخری روز میاں بیوی دونوں ایک دوسرے کے سامنے🤷🏻‍♂️ بیٹھے مونچھوں کو تاؤ دے رہے ہوں گے👊🏻😂🏻,0,0,1,0,0,1
اظہارِ محبت نہ کیا بس اسی ڈر سے ایسا نہ ہو گِر جاؤں کہیں اُن کی نظر سے رونقشاعری,0,0,1,1,0,0
ایک انتباہ خوبصورت حیرت انگیز انسانی نسل سے محبت نہیں کرنا واقعی میں ناممکن ہے لیکن پیچیدگی کے لئے سادگی سے,0,0,0,1,1,0
کپتان کی پوری ٹیم سے ایک سوال عارف وزیر کی موت پر اتنی خاموشی کی کیا وجہ ہے کرسی بچانا یا ڈر وخوف,1,1,0,1,0,0
جتنی میں اچھی ہوں ڈر ہے کہیں فوت نہ ہو جاؤں اچھے لوگ جلدی ٹُر جاتے ہیں نا 😀😊,0,0,1,0,0,1
مجھے پیار نہیں تو نفرت ہی سکھا دو دیکھنا میں کتنی دلگی سے نفرت کرتاہوں,0,0,0,1,0,0
گلف کی ریاستوں میں ہندوستانی مسلمانوں اور اسلام کے خلاف ہندوستان کی یلغار پر غصہ عروج پہ ہے پاکستانی حکومت اس کا,1,1,0,0,0,0
اگر ہمارے سود خور گستاخوں کے یار انگریزوں کے غلام نہ ہوتے تو سب سے پہلے قادیانیوں سے ملک کو پاک کرتے پھر کشمیر میں,1,1,0,1,0,0
اسکی آنکھیں بتاؤں کیسی ھیں جھیل سیف الملوک جیسی ہیں گلاب آنکھیں شراب آنکھیں یہی تو ہیں لاجواب آنکھی,0,0,0,0,0,1
ہمیں موت کا ڈر نہیں اگر ہم اپنی آخری سانس لینے سے پہلے ہتھیار ڈال دیں تو وہ سانسیں ہمارے لئے حرام ہیں,0,0,0,0,0,1
مرنے کے خوف سے کیا جینا چھوڑ دیا جائے کرونا کیلئے زیست سے رشتہ کیا توڑ لیا جائے,0,0,1,1,0,0
میجھے نفرت ہے اس گیم سے,1,1,0,0,0,0
چہکتے بولتے شہروں کو کیا ہوا ناصر کہ دن کو بھی مرے گھر میں وہی اداسی ہے ناصر کاظمی,0,0,0,1,1,0
انسان کو موت کا نہیں اپنے اعمال کا ڈر ہونا چاہیے,0,0,0,1,0,0
ایرانی کالین سفید گلدستہ فیروز کا   کیمرہ مین کا کمال کونسا کیمرہ میں س,0,0,0,0,1,0
ہم اکثر دیکھتے ہوں فیس بک پر لوگ اپنی جوانی کی فوٹوز بار بار,1,0,0,0,1,0
فیل ہونے سے ڈر نہیں لگتا کورونا سے لگتا ہے😂,0,0,0,1,0,0
بعض لوگ اصل میں مولویوں سے بغض نہیں دین سے نفرت کرتے ہیں ہمارے بزرگ اشفاق احمد فرماتے تھے یہ دین سے نفرت کرتے ہیں ا,1,1,0,0,0,0
مُجھ سے نفرت واجب ہے جناب نہیں کرو گے تو مُحبت ہو جاۓ گی,0,0,0,1,1,0
اس شہر میں نغمے بہنے دو بستی میں ہمیں بھی رہنے دو اس شہر میں پھر کیا دیکھو گے جب حرف یہاں مر جائے گا جب تیغ پہ,0,0,0,1,0,0
مجھے اکثر حیرت ھوتی ھے آپکی ایسی ٹویٹس پڑھ کر کہ آپ اب بھی ان لوگوں سے امیدیں لگائے بیٹھے ھیں,0,0,0,1,1,0
بھائی جان آپ اتنا غصہ کیوں کر رہے ہو مولانا صاحب نے کون سی غلط بات کی ہے آپ خدا کی ق,0,0,0,0,1,0
السلام علیکم صبح بخیر زندگی 😇 یااللہ اداسی اور تنگی سے ہمیں بچا ہمارے دل کو اور روزی کو کشادہ کردے ہمیں غصہ پر,0,0,0,0,0,0
السلام علیکم بے شک اللہ پاک کو عاجزى اور انکسارى پسند ہے اسکے ڈر سے نکلا ہوا اىک آنسو کا قطرہ بھى پہاڑوں کے وزن سے,0,0,1,0,0,0
بھائی جی غصہ نہ کرنا تو تحقیق وغیرہ بھی کی ہے کبھی یا پھر بحث ہی کرنی ہے پہلے کچھ پڑھ لیں ایک,1,0,0,1,1,0
ویسے آج تک جمیل فاروقی صاحب سے پہلے تک کیوں ہمارا میڈیا ڈر کے دب کے چلتا رہا حالانکہ یہ ناسور قادیانی تو پہلے بھی م,1,1,0,0,0,0
بس اک بات کا ڈر تھا تجھ کو کھو دو گا اور کچھ خوف نہیں رہا یار میری کہانی میں,0,0,1,1,0,0
تھوڑی سی شرم کر لیں اب سندھ حکومت سے بغض اور اپنے کراچی کے نالائق چہیتوں  اور,1,0,0,0,0,0
السلام علیکم آج ٹویٹر میں میرا دوسرا دن ہے ماشاء اللہ یہاں دوستوں کا پیار اور سپورٹ پاکر بیحد خوشی ہوئی دل باغ باغ,0,0,0,0,0,1
بیٹا نفرت کے پردے ہٹاو تو سب نظر آئے گا ,0,0,0,0,0,0
مختارے دی عجیب اداسی,0,0,0,1,0,0
غصہ آے تو اسے ضبط کر لے تو اللہ کے غضب سے بچا رہے گا اللہ کی محبت حاصل ھو گی ڈاکٹر محمد طاہرالقادری,0,0,0,0,0,1
علی محمد خان صاحبڈر کے مارے آپنے ایمان کی تجدید کر رہے ہو جب قادیانیوں کو ملک پر مٗسلط کرنے کی چال آلٹی پڑ گٸی تو,1,1,0,1,0,0
کھسرے کی بددعا سے ڈر لگتا ہے صاحب ورنہ بلاول کو منہ توڑ جواب دیتے 🤣,0,0,1,0,0,1
دیکھے ہیں وہ نگر کہ ابھی تک ہوں خوف میں وہ صورتیں ملی ہیں کہ ڈر جائے آدمی منیرنیازی,0,0,1,1,0,0
